"","df.Sighting","df.Date","df.Year","df.Group","df.Location","df.lat","df.lon","df.Species","u.valid_name","u.kingdom","u.phylum","u.order","u.family","u.genus"
"1520","2017S0048","2017-09-28","2017","Diatom","Lei Yue Mun to Sheung Sze Mun including Junk Bay, Tathong Channel and TLC FCZ",22.2388463319073,114.267415222008,"Chaetoceros salsugineum","Chaetoceros salsugineum DNA virus 01","Viruses",NA,NA,NA,"Bacilladnavirus"
"1531","2018S0010","2018-04-24","2018","Dinoflagellates","Tolo Harbour including Yim Tin Tsai fish culture zone",22.4479408533142,114.197375154607,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1533","2018S0012","2018-05-01","2018","Dinoflagellates","Lo Fu Wat fish culture zone",22.469019114869,114.272589727761,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1538","2018S0016","2018-08-01","2018","Dinoflagellates","Tolo Harbour including Yim Tin Tsai Fish Culture Zone",22.4508286250698,114.204319275624,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1576","2019S0033","2019-03-27","2019","Others","Shing Mun River Channel near Banyan Bridge",22.388058059509,114.199589485958,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1579","2019S0036","2019-03-30","2019","Others","Tolo Harbour including Yim Tin Tsai and Yim Tin Tsai (East) fish culture zones",22.4459195114777,114.211320805712,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1593","2020S0003","2020-05-02","2020","Others","West Lamma Channel including Lo Tik Wan and Sok Kwu Wan fish culture zones",22.2245562078529,114.092069019684,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1594","2020S0004","2020-05-03","2020","Others","Golden Beach, Tuen Mun",22.3707190556025,113.98732671568,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1595","2020S0005","2020-05-04","2020","Others","Victoria Harbor near Hong Kong China Ferry Terminal",22.2986161981779,114.166359035536,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1596","2020S0006","2020-05-05","2020","Others","Victoria Harbour near Hong Kong Convention and Exhibition Centre",22.2826141983991,114.170539280123,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1597","2020S0007","2020-05-12","2020","Others","Silver Mine Bay Beach, Lantau Island",22.2715820247783,114.000827818824,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
